RaceID,Race_Name,Location,Year,RaceType
Dublin2017,SSE Dublin Marathon,"Dublin, Ireland",2017,Marathon
Dublin2016,SSE Dublin Marathon,"Dublin, Ireland",2016,Marathon
Dublin2015,SSE Dublin Marathon,"Dublin, Ireland",2015,Marathon
Dublin2014,SSE Dublin Marathon,"Dublin, Ireland",2014,Marathon
Dublin2013,SSE Dublin Marathon,"Dublin, Ireland",2013,Marathon
Dublin2011,SSE Dublin Marathon,"Dublin, Ireland",2011,Marathon
Dublin2010,SSE Dublin Marathon,"Dublin, Ireland",2010,Marathon
Dublin2009,SSE Dublin Marathon,"Dublin, Ireland",2009,Marathon
Dublin2008,SSE Dublin Marathon,"Dublin, Ireland",2008,Marathon
Dublin2007,SSE Dublin Marathon,"Dublin, Ireland",2007,Marathon
Dublin2006,SSE Dublin Marathon,"Dublin, Ireland",2006,Marathon
Dublin2005,SSE Dublin Marathon,"Dublin, Ireland",2005,Marathon
Dublin2004,SSE Dublin Marathon,"Dublin, Ireland",2004,Marathon
Dublin2003,SSE Dublin Marathon,"Dublin, Ireland",2003,Marathon
Dublin2002,SSE Dublin Marathon,"Dublin, Ireland",2002,Marathon
Dublin2001,SSE Dublin Marathon,"Dublin, Ireland",2001,Marathon
Dublin2000,SSE Dublin Marathon,"Dublin, Ireland",2000,Marathon
